name,ppv,pph
ATUS SIROP 125ml,"55,00","38,50"
MELAPHYT GELS B30,"77,00","53,90"
3D VIT GOUTTES  10ML,"79,90","55,93"
5 CEREALES ET LAIT,"29,00","24,66"
5 CEREALES MIEL ET LAIT     xvdg,"29,00","24,66"
A.V.D. 2O COMP.,"10,60","7,00"
AB DIGEST B7,"89,80","62,87"
ABAISSE LANGUE ADULTE B100,"30,70","20,46"
ABAISSE LANGUE ENFANT B100,"30,70","20,46"
ABIRATERONE GT 250MG B120,"10 411,00","10 011,30"
ABSORGAZ GELS B30,"84,00","58,80"
ABSORGAZ GOUTTES,"78,00","54,60"
ACARD 50MG B28,"77,20","51,02"
ACCUCHEK APPAREIL,"211,00","147,72"
ACCUPRIL 20MG / 28CPS BK,"103,50","68,39"
ACCUPRIL 5 MG / 28CPS BK,"41,70","27,55"
ACEROLA 1000 CRO B30,"179,00","119,34"
ACEROLA FORTE-PHARMA/B12,"65,00","45,50"
ACEROLA VITAMINE C B30,"198,00","138,60"
ACERUMEN 10 FLACONS 2ML,"72,70","50,89"
ACERUMEN SPRAY 40ML,"93,50","65,46"
ACETHIO 500MG/2MG B20,"34,60","22,84"
ACFOL 5MG B28,"24,50","16,21"
ACID ZOLEDRONIQUE 4MG 5ML,"1 356,00","1 056,98"
ACIGAM 100MG B30,"27,00","17,85"
ACIGAM 200MG B20,"33,60","22,23"
ACILITH B30,"75,00","52,50"
ACLAV 100 MG/12.5 SP ENF,"60,50","40,00"
ACLAV 100MG/12.25MG SP NOR BK,"34,20","22,59"
ACLAV 1G/100MG/IV/1AMP,"33,60","22,23"
ACLAV 1G/125G/24STS,"174,80","115,47"
ACLAV 1G/125MG /12 SACHETS,"92,50","61,13"
ACLAV 1G/125MG/16STS,"123,40","81,51"
ACLAV 1G/14 STS,"107,50","71,01"
ACLAV 1G/200MG IV / 1FL,"30,80","20,37"
ACLAV 2G/200MG IV / 1FL,"43,00","28,40"
ACLAV 500MG/16 STS BK,"99,50","65,76"
ACLAV 500MG/50MG IV / 1FL,"18,70","12,37"
ACLAV 500MG/62.5MG/12STS BK,"74,60","49,32"
ACLAV 500MG/62.5MG/24STS BK,"113,50","75,02"
ACNO 10MG/30CPS,"142,10","93,86"
ACNO 20MG/30CPS BK,"269,00","189,33"
ACNO 20MG/60CPS BK,"497,00","349,21"
ACNO 30MG/30CPS BK,"348,00","245,08"
ACOL 1000MG B30,"18,30","12,10"
ACOL 1000MG B60,"32,20","21,26"
ACONCEPT 1.5MG B1,"60,50","39,96"
ACT HIB,"143,00","94,47"
ACTACEPT 10MG B30,"373,00","262,74"
ACTACEPT 5MG B30,"233,00","154,29"
ACTALEVURE / 15 CPS,"39,00","27,30"
ACTALEVURE 30 GELS,"69,00","48,30"
ACTI PETIT B30,"89,00","62,30"
ACTI PETIT SIROP,"94,00","65,81"
ACTICARBINE X 84 COMP,"43,80","28,96"
ACTICARBON  PLUS B30,"79,00","55,31"
ACTICARBON TRANSIT GELS B30,"79,00","55,31"
ACTIGEL GEL 30G,"148,00","103,61"
ACTIPEX SIROP 200ML,"74,00","51,80"
ACTIPUR GEL,"199,00","132,67"
ACTIPUR GEL REGULATEUR,"160,00","106,67"
ACTIV C XL,"273,10","182,04"
"ACTIVE ""C"" PEAUX NORMALE ET MI","254,00","169,33"
ACTYL B9 B60,"70,00","49,00"
ACTYL B9 CPS B30,"70,00","49,01"
ACTYL D CP B30,"70,00","49,01"
ACTYL D GOUTTES 20ML,"136,00","95,20"
ACTYL D GOUTTES 30ML,"136,00","95,21"
ACUCARB 150MG 15ML,"408,00","285,57"
"ACUILIX 20MG /12,5 MG 28CP BK","130,60","86,30"
ACUPAN SOL INJ /B5X2ML BK,"47,60","31,47"
ADAFER PLUS /30 CP,"99,80","69,86"
ADAMAG 300 B30,"99,50","69,66"
ADANCOR 10MG B30,"72,80","48,11"
ADANCOR 20MG B30,"138,60","91,58"
ADAVIMAC BTE/30 GELULES,"119,00","83,30"
ADDITIVA /20 CP ORANGE EFFE,"79,00","52,20"
ADDITIVA 20CP MANGUE EFFE,"79,00","52,20"
ADDITIVA MAGNESIUM /20SACH,"89,00","58,81"
ADDITIVA MANDARINE,"79,00","52,68"
ADDITIVA MANDARINE 10 CPS,"37,00","25,90"
ADDITIVA MANGUE 10CPS,"37,00","25,90"
ADDITIVA PECHE,"79,00","52,68"
ADDITIVA VITAL / 30 CPS,"99,00","65,41"
ADENOL LP 10MG B10,"53,40","35,30"
ADENOL LP 10MG B30,"137,90","91,12"
ADENOX GEL B30,"122,00","85,39"
ADEPAL X 21 DRAGEES.,"13,00","8,58"
ADERMA EPITHELIALE CREME 30ML,"100,00","70,00"
ADFIL EMULSION CREME GM,"69,00","48,30"
ADFIL EMULSION CREME PM,"44,50","31,14"
ADIAFLOR SOLUTION BUVABLE B/10,"119,50","83,66"
ADIZEM LP 120 BK,"113,50","75,00"
ADIZEM LP 180,"138,00","91,18"
ADIZEM LP 300,"175,00","115,63"
ADO   500 /50CPS,"17,50","11,57"
ADO 1000MG B90,"43,30","28,60"
ADO 1000MG/30CPS,"19,90","13,15"
ADO 1000MG/60CPS,"35,00","23,12"
ADO 850MG B60,"34,00","22,48"
ADO 850MG/30CPS,"19,00","12,55"
"ADRENALINE 0,5MG INJ B100","298,00","209,79"
ADRENALINE 0.25 MG BT 100 INJ,"167,40","110,58"
ADRENALINE SOTH 1MG/1ML 100AMP,"308,00","216,39"
ADRONAT 70MG / 4 CPS,"164,50","108,68"
AELA B28,"270,00","189,00"
AERIUS 5MG / 15CPS BK,"48,40","31,97"
AERIUS 5MG/ 30CPS BK,"95,90","63,38"
AERIUS 5MG/7CPS BK,"25,00","16,54"
AEROMAX 200 DOSES,"177,60","117,33"
AFFINA-LIFT CREME,"422,70","281,81"
AFLAMIC 15MG CP B10,"35,50","23,47"
AFLAMIC 15MG CP B20,"72,60","47,95"
AFLAMIC 15MG CP B30,"95,80","63,27"
AFLAMIC 7.5MG CP B10,"26,20","17,29"
AFLAMIC 7.5MG CP B20,"46,70","30,88"
AFLAMIC 7.5MG CP B30,"66,40","43,85"
AFLOX 250MG B10,"33,60","22,23"
AFLOX 500MG B10,"55,10","36,43"
AFLOX 750MG B10,"76,60","50,64"
AFONGIS 150MG B1,"18,20","12,04"
AFONGIS 150MG B2,"32,10","21,19"
AFONGIS 150MG B4,"55,10","36,43"
AFONGIS 150MG B7,"92,50","61,13"
AFRICAN PLUM GELS B30,"219,00","153,29"
AGAZ B60 GELS,"96,00","67,20"
AGAZ PEDIATRIQUE 30ML,"89,00","62,30"
AGENOS CP EFFER B32,"95,00","66,50"
